timestamp,open,high,low,close,volume
2021-04-03T00:00:00,58950.010000,59450.080000,58931.300000,59387.130000,1706.898053
2021-04-03T01:00:00,59387.130000,59391.760000,59003.000000,59254.980000,1295.372272
2021-04-03T02:00:00,59254.980000,59410.150000,59124.320000,59408.200000,1232.436973
2021-04-03T03:00:00,59408.200000,59430.000000,59153.160000,59221.530000,944.716561
2021-04-03T04:00:00,59221.520000,59463.170000,59191.980000,59394.920000,1092.556173
2021-04-03T05:00:00,59394.930000,59531.740000,59319.930000,59466.370000,1151.514362
2021-04-03T06:00:00,59466.380000,59525.000000,59180.000000,59410.960000,1413.416522
2021-04-03T07:00:00,59410.950000,59438.590000,59275.000000,59298.850000,1481.484973
2021-04-03T08:00:00,59301.800000,59791.720000,58750.960000,59028.650000,3131.957995
2021-04-03T09:00:00,59028.650000,59437.910000,58814.280000,59423.900000,1553.857246
2021-04-03T10:00:00,59423.900000,59700.000000,59338.140000,59338.140000,1874.845695
2021-04-03T11:00:00,59339.850000,59461.280000,59194.000000,59255.020000,1336.032807
2021-04-03T12:00:00,59256.070000,59415.040000,59124.830000,59254.760000,1259.255801
2021-04-03T13:00:00,59254.750000,59454.830000,59156.400000,59414.800000,1291.151812
2021-04-03T14:00:00,59414.800000,59454.710000,59119.000000,59144.380000,1801.314135
2021-04-03T15:00:00,59146.380000,59248.180000,58800.000000,58829.990000,2429.329924
2021-04-03T16:00:00,58829.990000,59143.710000,58600.000000,58809.740000,2625.333020
2021-04-03T17:00:00,58809.740000,58811.140000,58177.770000,58210.130000,3433.071237
2021-04-03T18:00:00,58208.330000,58483.900000,57707.700000,58455.360000,3619.779050
2021-04-03T19:00:00,58455.360000,58748.760000,58160.340000,58597.040000,1923.092472
2021-04-03T20:00:00,58597.040000,58597.040000,57851.280000,58054.150000,1767.463495
2021-04-03T21:00:00,58054.160000,58262.300000,57500.000000,57631.280000,2312.683097
2021-04-03T22:00:00,57631.280000,57784.190000,57088.270000,57556.750000,3075.478671
2021-04-03T23:00:00,57556.760000,57800.000000,56880.000000,57051.940000,3656.809767
2021-04-04T00:00:00,57051.950000,57269.920000,56507.910000,56600.000000,3651.491736
2021-04-04T01:00:00,56600.000000,57153.740000,56388.000000,56933.460000,3526.290840
2021-04-04T02:00:00,56933.470000,57551.000000,56933.460000,57363.480000,1864.771643
2021-04-04T03:00:00,57363.480000,57583.320000,57200.000000,57492.420000,1419.349385
2021-04-04T04:00:00,57492.420000,57723.480000,57380.950000,57547.520000,1331.258877
2021-04-04T05:00:00,57547.520000,57650.000000,57290.000000,57477.080000,1166.244527
2021-04-04T06:00:00,57473.710000,57548.280000,57139.020000,57439.980000,1312.971027
2021-04-04T07:00:00,57439.970000,57614.530000,57248.790000,57614.520000,1413.148560
2021-04-04T08:00:00,57614.520000,57688.920000,57402.300000,57429.840000,1354.946568
2021-04-04T09:00:00,57429.840000,57700.000000,57429.840000,57686.350000,1511.276383
2021-04-04T10:00:00,57686.360000,57787.790000,57525.990000,57708.050000,1421.048420
2021-04-04T11:00:00,57708.050000,57766.790000,57033.850000,57275.550000,1616.444440
2021-04-04T12:00:00,57278.230000,58000.000000,57000.000000,57755.080000,2218.680018
2021-04-04T13:00:00,57755.070000,58166.460000,57754.610000,58128.140000,1993.921527
2021-04-04T14:00:00,58128.150000,58300.000000,58010.410000,58130.990000,1653.289104
2021-04-04T15:00:00,58130.980000,58492.850000,57703.490000,57918.110000,2938.613648
