timestamp,open_basis,close_basis
2023-07-10T00:00:00,0.0428,0.0483
2023-07-11T00:00:00,0.0483,0.0448
2023-07-12T00:00:00,0.0451,0.0366
2023-07-13T00:00:00,0.0366,0.0399
2023-07-14T00:00:00,0.0402,0.0618
2023-07-15T00:00:00,0.0614,0.0433
2023-07-16T00:00:00,0.043,0.0503
2023-07-17T00:00:00,0.05,0.0395
2023-07-18T00:00:00,0.0399,0.0453
2023-07-19T00:00:00,0.045,0.0459
2023-07-20T00:00:00,0.0459,0.0302
2023-07-21T00:00:00,0.0302,0.0345
2023-07-22T00:00:00,0.0342,0.0353
2023-07-23T00:00:00,0.0352,0.0431
2023-07-24T00:00:00,0.0427,0.0435
2023-07-25T00:00:00,0.0439,0.0432
2023-07-26T00:00:00,0.0435,0.0544
2023-07-27T00:00:00,0.0544,0.0448
2023-07-28T00:00:00,0.0444,0.0486
2023-07-29T00:00:00,0.0483,0.047
2023-07-30T00:00:00,0.047,0.0341
2023-07-31T00:00:00,0.0338,0.0392
2023-08-01T00:00:00,0.0392,0.0161
2023-08-02T00:00:00,0.0161,0.0545
2023-08-03T00:00:00,0.0542,0.0461
2023-08-04T00:00:00,0.0464,0.0443
2023-08-05T00:00:00,0.0443,0.0497
2023-08-06T00:00:00,0.0497,0.0431
2023-08-07T00:00:00,0.0431,0.0286
2023-08-08T00:00:00,0.029,0.0384
2023-08-09T00:00:00,0.0387,0.0311
2023-08-10T00:00:00,0.0307,0.0409
2023-08-11T00:00:00,0.041,0.0358
2023-08-12T00:00:00,0.0358,0.0322
2023-08-13T00:00:00,0.0319,0.036
2023-08-14T00:00:00,0.036,0.0389
2023-08-15T00:00:00,0.0388,0.0384
2023-08-16T00:00:00,0.0381,0.0561
2023-08-17T00:00:00,0.0561,0.0515
2023-08-18T00:00:00,0.0515,0.0457
2023-08-19T00:00:00,0.0461,0.0449
2023-08-20T00:00:00,0.0445,0.0538
2023-08-21T00:00:00,0.0539,0.0441
2023-08-22T00:00:00,0.0441,0.0445
2023-08-23T00:00:00,0.0441,0.0512
2023-08-24T00:00:00,0.0511,0.059
2023-08-25T00:00:00,0.059,0.0319
2023-08-26T00:00:00,0.0319,0.0503
2023-08-27T00:00:00,0.0503,0.0539
2023-08-28T00:00:00,0.0544,0.0517
2023-08-29T00:00:00,0.0517,0.0586
2023-08-30T00:00:00,0.0586,0.0351
2023-08-31T00:00:00,0.0348,0.0493
2023-09-01T00:00:00,0.0493,0.0366
2023-09-02T00:00:00,0.0366,0.053
2023-09-03T00:00:00,0.0531,0.0351
2023-09-04T00:00:00,0.0351,0.0466
2023-09-05T00:00:00,0.0466,0.0481
2023-09-06T00:00:00,0.0481,0.0487
2023-09-07T00:00:00,0.0487,0.0545
2023-09-08T00:00:00,0.0545,0.0413
2023-09-09T00:00:00,0.0409,0.0348
2023-09-10T00:00:00,0.0348,0.0511
2023-09-11T00:00:00,0.0511,0.0482
2023-09-12T00:00:00,0.0482,0.0554
2023-09-13T00:00:00,0.0554,0.0462
2023-09-14T00:00:00,0.0458,0.0469
2023-09-15T00:00:00,0.0469,0.0335
2023-09-16T00:00:00,0.0334,0.0481
2023-09-17T00:00:00,0.0477,0.0502
2023-09-18T00:00:00,0.0502,0.0471
2023-09-19T00:00:00,0.0471,0.0524
2023-09-20T00:00:00,0.0528,0.0638
2023-09-21T00:00:00,0.0639,0.0583
2023-09-22T00:00:00,0.0583,0.0506
2023-09-23T00:00:00,0.0506,0.0484
2023-09-24T00:00:00,0.0488,0.0609
2023-09-25T00:00:00,0.061,0.0544
2023-09-26T00:00:00,0.0544,0.0491
2023-09-27T00:00:00,0.0495,0.0508
2023-09-28T00:00:00,0.0508,0.0355
2023-09-29T00:00:00,0.0359,0.0597
2023-09-30T00:00:00,0.0597,0.0433
2023-10-01T00:00:00,0.0429,0.0399
2023-10-02T00:00:00,0.0403,0.0615
2023-10-03T00:00:00,0.0612,0.0528
2023-10-04T00:00:00,0.0527,0.0676
2023-10-05T00:00:00,0.068,0.0438
2023-10-06T00:00:00,0.0441,0.053
2023-10-07T00:00:00,0.053,0.0489
2023-10-08T00:00:00,0.0489,0.0568
2023-10-09T00:00:00,0.0568,0.0429
2023-10-10T00:00:00,0.0425,0.0326
2023-10-11T00:00:00,0.0322,0.041
2023-10-12T00:00:00,0.041,0.0584
2023-10-13T00:00:00,0.0584,0.0454
2023-10-14T00:00:00,0.0458,0.0603
2023-10-15T00:00:00,0.0599,0.0529
2023-10-16T00:00:00,0.0528,0.0508
2023-10-17T00:00:00,0.0508,0.0494
2023-10-18T00:00:00,0.049,0.0456
2023-10-19T00:00:00,0.0452,0.0586
2023-10-20T00:00:00,0.0582,0.0541
2023-10-21T00:00:00,0.0541,0.0482
2023-10-22T00:00:00,0.0482,0.0366
2023-10-23T00:00:00,0.0369,-0.0121
2023-10-24T00:00:00,-0.0121,0.0169
2023-10-25T00:00:00,0.0169,0.0242
2023-10-26T00:00:00,0.0239,-0.0069
2023-10-27T00:00:00,-0.0071,-0.0032
2023-10-28T00:00:00,-0.0035,-0.0164
2023-10-29T00:00:00,-0.0167,-0.0078
2023-10-30T00:00:00,-0.0079,-0.0263
2023-10-31T00:00:00,-0.0263,-0.0336
2023-11-01T00:00:00,-0.0335,-0.0451
2023-11-02T00:00:00,-0.0453,0.0043
2023-11-03T00:00:00,0.0042,0.0472
2023-11-04T00:00:00,0.0469,-0.0218
2023-11-05T00:00:00,-0.0218,-0.0389
2023-11-06T00:00:00,-0.0389,-0.0323
2023-11-07T00:00:00,-0.0325,-0.0208
2023-11-08T00:00:00,-0.0208,-0.0056
2023-11-09T00:00:00,-0.0056,-0.0501
2023-11-10T00:00:00,-0.0504,-0.0771
2023-11-11T00:00:00,-0.0768,-0.0864
2023-11-12T00:00:00,-0.0864,-0.0576
2023-11-13T00:00:00,-0.0579,-0.0638
2023-11-14T00:00:00,-0.0638,-0.022
2023-11-15T00:00:00,-0.0222,-0.0723
2023-11-16T00:00:00,-0.0721,-0.0345
2023-11-17T00:00:00,-0.0345,-0.0218
2023-11-18T00:00:00,-0.0218,-0.035
2023-11-19T00:00:00,-0.0352,-0.0429
2023-11-20T00:00:00,-0.0427,-0.0366
2023-11-21T00:00:00,-0.0369,0.013
2023-11-22T00:00:00,0.0127,-0.0135
2023-11-23T00:00:00,-0.0138,-0.0001
2023-11-24T00:00:00,-0.0003,0.0193
2023-11-25T00:00:00,0.0193,0.0373
2023-11-26T00:00:00,0.037,0.0255
2023-11-27T00:00:00,0.0254,0.0226
2023-11-28T00:00:00,0.0223,0.0179
2023-11-29T00:00:00,0.0182,0.0464
2023-11-30T00:00:00,0.0461,0.019
2023-12-01T00:00:00,0.0187,0.0583
2023-12-02T00:00:00,0.0585,0.0389
2023-12-03T00:00:00,0.0387,-0.0186
2023-12-04T00:00:00,-0.0189,-0.0048
2023-12-05T00:00:00,-0.0048,-0.019
2023-12-06T00:00:00,-0.0179,-0.0277
2023-12-07T00:00:00,-0.0283,-0.0528
2023-12-08T00:00:00,-0.0528,-0.0871
2023-12-09T00:00:00,-0.0873,-0.0473
2023-12-10T00:00:00,-0.0471,-0.0468
2023-12-11T00:00:00,-0.047,-0.0426
